period	format	url
2026	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2026/FFSPreglediNaprav.xls
2026	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2026/FFSPreglediNaprav.txt
2026	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2026/FFSPreglediNaprav.xml
2026	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2026/FFSPreglediNaprav.xsd
2025	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2025/FFSPreglediNaprav.xls
2025	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2025/FFSPreglediNaprav.txt
2025	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2025/FFSPreglediNaprav.xml
2025	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2025/FFSPreglediNaprav.xsd
2024	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2024/FFSPreglediNaprav.xls
2024	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2024/FFSPreglediNaprav.txt
2024	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2024/FFSPreglediNaprav.xml
2024	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2024/FFSPreglediNaprav.xsd
2023	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2023/FFSPreglediNaprav.xls
2023	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2023/FFSPreglediNaprav.txt
2023	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2023/FFSPreglediNaprav.xml
2023	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2023/FFSPreglediNaprav.xsd
2022	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2022/FFSPreglediNaprav.xls
2022	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2022/FFSPreglediNaprav.txt
2022	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2022/FFSPreglediNaprav.xml
2022	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2022/FFSPreglediNaprav.xsd
2021	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2021/FFSPreglediNaprav.xls
2021	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2021/FFSPreglediNaprav.txt
2021	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2021/FFSPreglediNaprav.xml
2021	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2021/FFSPreglediNaprav.xsd
2020	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2020/FFSPreglediNaprav.xls
2020	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2020/FFSPreglediNaprav.txt
2020	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2020/FFSPreglediNaprav.xml
2020	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2020/FFSPreglediNaprav.xsd
