article	title
1	(vsebina)
3	(pomen izrazov)
5	(registracija in dovoljenja za FFS)
9	(nacionalni akcijski program)
13	(prodajalne z neživilskim blagom)
14	(promet s FFS na drobno)
15	(nakup in uporaba FFS)
16	(podatki o prometu s FFS)
17	(pravilna uporaba FFS)
19	(podatki o uporabi FFS)
20	(omejitve pri prometu in uporabi FFS)
22	(usposabljanje za ravnanje s FFS)
25	(izvedba usposabljanja)
26	(izkaznica)
29	(pregledniki naprav)
30	(priznanje pregledov naprav)
34	(zmanjševanje uporabe ali tveganj zaradi uporabe FFS na javnih površinah)
42	(register FFS)
43	(register distributerjev)
44	(evidenca o prometu s FFS)
44.a	(evidenca o nakupu FFS)
44.b	(evidenca o uporabi FFS)
45	(evidenca o usposabljanju)
46	(evidence pregledanih naprav)
47	(pridobivanje in uporaba podatkov)
49	(pooblastila fitosanitarnega inšpektorja)
50	(ukrepi fitosanitarnega inšpektorja)
52	(hujši prekrški)
53	(drugi prekrški)
60	(register pravnih in fizičnih oseb za promet s FFS)
61	(vpis v register distributerjev)
62	(evidenca naprav)
