"NapravaID";"StatusNaprave";"SkladnostNaprave";"ZadnjaStevilkaZnaka";"VeljavnostZnaka";"ZadnjiPregled";"VrstaNaprave";"Izdelovalec";"LetoIzdelave";"TipNaprave";"SerijskaStevilka";"LetoNakupa";"ObcinaStalnegaBivaliscaLastnika";"PregledID";"LetoPregleda";"DatumPregleda";"StevilkaZnaka";"SkladnostObPregledu";"StatRegijaMestaPregleda";"ObcinaMestaPregleda"
-10118400;"Aktivna";"da";188139;30.6.29 00:00:00;1.6.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1983;"AGS 340";"/";;"Gornja Radgona";456982;2026;1.6.26 00:00:00;188139;"da";"Pomurska";"Gornja Radgona"
100707351;"Aktivna";"da";182864;30.6.29 00:00:00;22.4.26 00:00:00;"Škropilnica";"METALNA RAU MARIBOR";1983;"14 V45 S";"0681";;"Gornja Radgona";455099;2026;22.4.26 00:00:00;182864;"da";"Pomurska";"Gornja Radgona"
-10118269;"Aktivna";"da";182867;30.6.29 00:00:00;22.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2001;"AGS 400 E";"0544";;"Gornja Radgona";455128;2026;22.4.26 00:00:00;182867;"da";"Pomurska";"Gornja Radgona"
100704703;"Aktivna";"da";188050;30.6.29 00:00:00;10.6.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2017;"AGS 800 EN";"170078";2018;"Apače";457447;2026;10.6.26 00:00:00;188050;"da";"Pomurska";"Apače"
-10119250;"Aktivna";"da";182854;30.6.29 00:00:00;22.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1980;"AGS 300";"3833";;"Sveti Jurij ob Ščavnici";455062;2026;22.4.26 00:00:00;182854;"da";"Pomurska";"Gornja Radgona"
-10118395;"Aktivna";"da";182818;30.6.29 00:00:00;16.4.26 00:00:00;"Škropilnica";"METALNA RAU MARIBOR";1984;"14 V 35 S";"6006";;"Sveti Jurij ob Ščavnici";454698;2026;16.4.26 00:00:00;182818;"da";"Pomurska";"Sveti Jurij ob Ščavnici"
100706017;"Aktivna";"da";182878;30.6.29 00:00:00;23.4.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";2020;"AGP 200 TN";"10004934";2021;"Sveti Jurij ob Ščavnici";455178;2026;23.4.26 00:00:00;182878;"da";"Pomurska";"Gornja Radgona"
100711952;"Aktivna";"da";182808;31.12.30 00:00:00;16.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2024;"AGS 1000 EN";"10028085";2025;"Sveti Jurij ob Ščavnici";454620;2026;16.4.26 00:00:00;182808;"da";"Pomurska";"Sveti Jurij ob Ščavnici"
-10313150;"Aktivna";"da";201396;30.6.29 00:00:00;3.6.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2001;"AGS 1000 EN";".";;"Sveti Jurij ob Ščavnici";457086;2026;3.6.26 00:00:00;201396;"da";"Podravska";"Juršinci"
-10213322;"Aktivna";"da";182855;30.6.29 00:00:00;22.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2003;"AGS 600 EN";"1130";;"Gornja Radgona";455070;2026;22.4.26 00:00:00;182855;"da";"Pomurska";"Gornja Radgona"
-10120148;"Aktivna";"da";182802;30.6.29 00:00:00;15.4.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";2008;"AGP 200";"080144";;"Sveti Jurij ob Ščavnici";454542;2026;15.4.26 00:00:00;182802;"da";"Pomurska";"Sveti Jurij ob Ščavnici"
100711984;"Aktivna";"da";182869;30.6.31 00:00:00;22.4.26 00:00:00;"Škropilnica";"LISICKI SP.Z O.O.";2026;"PO35/3";"10042000622";2026;"Radenci";455132;2026;22.4.26 00:00:00;182869;"da";"Pomurska";"Gornja Radgona"
-10213712;"Aktivna";"da";180501;30.6.29 00:00:00;28.5.26 00:00:00;"Škropilnica";"METALNA RAU MARIBOR";1977;"14 V 310";"1180";;"Sveti Jurij ob Ščavnici";456884;2026;28.5.26 00:00:00;180501;"da";"Podravska";"Cerkvenjak"
-10212812;"Aktivna";"da";182877;30.6.29 00:00:00;23.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1990;"AGS 220";"12825";;"Gornja Radgona";455169;2026;23.4.26 00:00:00;182877;"da";"Pomurska";"Gornja Radgona"
-10119040;"Aktivna";"da";189893;30.6.29 00:00:00;15.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1984;"AGS 340";"/";;"Sveti Jurij ob Ščavnici";454490;2026;15.4.26 00:00:00;189893;"da";"Pomurska";"Sveti Jurij ob Ščavnici"
100707280;"Aktivna";"da";182814;30.6.29 00:00:00;16.4.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";1988;"AGP 340";"/";;"Sveti Jurij ob Ščavnici";454652;2026;16.4.26 00:00:00;182814;"da";"Pomurska";"Sveti Jurij ob Ščavnici"
-10117146;"Aktivna";"da";182801;30.6.29 00:00:00;15.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1987;"AGS 400";"/";;"Sveti Jurij ob Ščavnici";454534;2026;15.4.26 00:00:00;182801;"da";"Pomurska";"Sveti Jurij ob Ščavnici"
100704233;"Aktivna";"da";180690;30.6.29 00:00:00;28.5.26 00:00:00;"Škropilnica";"JAR-MET";2018;"P 128/9";"1";2018;"Sveti Jurij ob Ščavnici";456852;2026;28.5.26 00:00:00;180690;"da";"Podravska";"Cerkvenjak"
